recall_TopPush,precision_TopPush,recall_TopPushK,precision_TopPushK,recall_PatMatNP,precision_PatMatNP
1.0,0.1,1.0,0.1,1.0,0.1
0.99,0.19223300970873786,0.99,0.15804597701149425,0.99,0.13842281879194632
0.98,0.22037328536091746,0.98,0.19155590304925724,0.98,0.17763277143375023
0.97,0.2465683782409761,0.97,0.2224260490713139,0.97,0.20507399577167018
0.96,0.2735822171558849,0.96,0.24954510007798283,0.96,0.2319961333977767
0.95,0.296411856474259,0.95,0.2661064425770308,0.95,0.2715837621497999
0.94,0.3160726294552791,0.94,0.2883435582822086,0.94,0.30971993410214166
0.931,0.3285109386026817,0.931,0.3065525189331577,0.931,0.31938250428816467
0.921,0.333454018826937,0.922,0.3317740194314502,0.921,0.34572072072072074
0.911,0.3526906697638405,0.911,0.35530421216848673,0.911,0.3776948590381426
0.901,0.36760505915952674,0.901,0.3721602643535729,0.901,0.4075079149706015
0.891,0.37818336162988114,0.891,0.4062927496580027,0.891,0.4287776708373436
0.88,0.38698328935795956,0.88,0.4194470924690181,0.88,0.45314109165808447
0.87,0.4,0.87,0.43961596766043454,0.87,0.47103410936654033
0.86,0.4191033138401559,0.86,0.4579339723109691,0.86,0.4875283446712018
0.85,0.42735042735042733,0.85,0.4772599663110612,0.85,0.5056513979773944
0.84,0.4343329886246122,0.84,0.49616066154754873,0.84,0.5204460966542751
0.83,0.4455179817498658,0.83,0.5003013863773358,0.83,0.5435494433529797
0.82,0.45555555555555555,0.82,0.5134627426424546,0.82,0.5604921394395078
0.811,0.4696004632310365,0.811,0.52765126870527,0.811,0.5631944444444444
0.801,0.47537091988130564,0.801,0.5508940852819807,0.801,0.5821220930232558
0.791,0.4909993792675357,0.791,0.5598018400566172,0.791,0.5920658682634731
0.781,0.49618805590851334,0.781,0.5688273852876912,0.781,0.5984674329501916
0.771,0.508575197889182,0.771,0.5740878629932986,0.771,0.6070866141732284
0.76,0.5142083897158322,0.76,0.5886909372579395,0.76,0.6219312602291326
0.75,0.5183137525915688,0.75,0.5952380952380952,0.754,0.6262458471760798
0.74,0.5437178545187362,0.74,0.6070549630844955,0.75,0.6404782237403929
0.73,0.554290053151101,0.73,0.6139613120269134,0.74,0.647985989492119
0.72,0.565593087195601,0.72,0.6255430060816681,0.73,0.6506238859180036
0.71,0.5689102564102564,0.71,0.6288751107174491,0.72,0.6539509536784741
0.7,0.5789909015715468,0.7,0.6433823529411765,0.71,0.6623134328358209
0.69,0.5867346938775511,0.69,0.6472795497185742,0.7,0.6717850287907869
0.681,0.5952797202797203,0.681,0.6611650485436893,0.69,0.677134445534838
0.671,0.6094459582198002,0.671,0.6689930209371885,0.681,0.6844221105527638
0.661,0.6131725417439703,0.661,0.6744897959183673,0.671,0.6946169772256728
0.65,0.626204238921002,0.65,0.6871035940803383,0.661,0.7099892588614393
0.64,0.6477732793522267,0.64,0.6956521739130435,0.65,0.7088331515812432
0.63,0.6514994829369183,0.63,0.7070707070707071,0.64,0.7174887892376681
0.62,0.656084656084656,0.62,0.7209302325581395,0.63,0.7233065442020666
0.61,0.6608884073672806,0.61,0.7244655581947743,0.62,0.7363420427553444
0.6,0.6637168141592921,0.6,0.7326007326007326,0.61,0.7484662576687117
0.591,0.6640449438202247,0.59,0.7421383647798742,0.6,0.7490636704119851
0.58,0.6636155606407322,0.58,0.7483870967741936,0.59,0.7515923566878981
0.57,0.6729634002361276,0.57,0.753968253968254,0.58,0.7601572739187418
0.561,0.6742788461538461,0.561,0.7581081081081081,0.57,0.7630522088353414
0.551,0.68875,0.551,0.7663421418636995,0.561,0.7695473251028807
0.541,0.6935897435897436,0.541,0.7684659090909091,0.551,0.7782485875706214
0.53,0.7019867549668874,0.53,0.7725947521865889,0.541,0.7863372093023255
0.52,0.7046070460704607,0.52,0.7738095238095238,0.53,0.789865871833085
0.51,0.7093184979137691,0.51,0.7738998482549317,0.52,0.7926829268292683
0.5,0.7122507122507122,0.5,0.7800312012480499,0.51,0.7931570762052877
0.49,0.7153284671532847,0.49,0.7877813504823151,0.5,0.7911392405063291
0.48,0.7250755287009063,0.48,0.7907742998352554,0.49,0.7967479674796748
0.47,0.7355242566510172,0.47,0.7966101694915254,0.48,0.8013355592654424
0.46,0.736,0.46,0.8013937282229965,0.47,0.8006814310051107
0.45,0.7317073170731707,0.45,0.8108108108108109,0.46,0.8013937282229965
0.44,0.7357859531772575,0.44,0.822429906542056,0.45,0.8093525179856115
0.43,0.7426597582037997,0.43,0.8237547892720306,0.44,0.8148148148148148
0.42,0.7446808510638298,0.42,0.8300395256916996,0.43,0.819047619047619
0.41,0.7441016333938294,0.41,0.8333333333333334,0.42,0.825147347740668
0.4,0.7407407407407407,0.4,0.8421052631578947,0.41,0.8299595141700404
0.39,0.7428571428571429,0.39,0.8478260869565217,0.4,0.8403361344537815
0.38,0.7436399217221135,0.38,0.852017937219731,0.39,0.8369098712446352
0.37,0.7429718875502008,0.37,0.8486238532110092,0.38,0.8370044052863436
0.36,0.7468879668049793,0.36,0.8450704225352113,0.37,0.835214446952596
0.35,0.7526881720430108,0.351,0.8498789346246973,0.36,0.8372093023255814
0.341,0.7527593818984547,0.341,0.8525,0.35,0.8333333333333334
0.331,0.7662037037037037,0.331,0.8597402597402597,0.341,0.8419753086419753
0.321,0.7829268292682927,0.321,0.8582887700534759,0.331,0.8508997429305912
0.31,0.7848101265822784,0.31,0.8683473389355743,0.321,0.8582887700534759
0.3,0.7894736842105263,0.3,0.8746355685131195,0.31,0.8611111111111112
0.29,0.7945205479452054,0.29,0.8708708708708709,0.3,0.8571428571428571
0.28,0.7977207977207977,0.28,0.8722741433021807,0.29,0.8579881656804734
0.27,0.7988165680473372,0.27,0.8852459016393442,0.28,0.8536585365853658
0.26,0.7926829268292683,0.26,0.8873720136518771,0.27,0.8544303797468354
0.25,0.7886435331230284,0.25,0.8928571428571429,0.26,0.858085808580858
0.24,0.7920792079207921,0.24,0.8921933085501859,0.25,0.8591065292096219
0.23,0.7931034482758621,0.23,0.8984375,0.24,0.8571428571428571
0.22,0.7885304659498208,0.22,0.9128630705394191,0.23,0.8518518518518519
0.21,0.7894736842105263,0.21,0.9170305676855895,0.22,0.859375
0.2,0.7874015748031497,0.2,0.9174311926605505,0.21,0.8641975308641975
0.19,0.7786885245901639,0.19,0.9178743961352657,0.2,0.8658008658008658
0.18,0.782608695652174,0.18,0.9230769230769231,0.19,0.8636363636363636
0.17,0.776255707762557,0.17,0.9239130434782609,0.181,0.8701923076923077
0.16,0.7766990291262136,0.16,0.9302325581395349,0.17,0.8900523560209425
0.15,0.7772020725388601,0.15,0.9375,0.16,0.8938547486033519
0.14,0.7734806629834254,0.14,0.9395973154362416,0.15,0.8982035928143712
0.13,0.7738095238095238,0.13,0.9420289855072463,0.14,0.89171974522293
0.12,0.7741935483870968,0.12,0.9448818897637795,0.13,0.9027777777777778
0.11,0.7746478873239436,0.11,0.9482758620689655,0.12,0.9022556390977443
0.1,0.78125,0.1,0.9523809523809523,0.11,0.9016393442622951
0.099,0.7795275590551181,0.099,0.9519230769230769,0.1,0.8928571428571429
0.098,0.7777777777777778,0.098,0.9514563106796117,0.099,0.8918918918918919
0.097,0.776,0.097,0.9509803921568627,0.098,0.8909090909090909
0.096,0.7804878048780488,0.096,0.96,0.097,0.8899082568807339
0.095,0.7851239669421488,0.095,0.9595959595959596,0.096,0.8888888888888888
0.094,0.7833333333333333,0.094,0.9591836734693877,0.095,0.8878504672897196
0.093,0.7948717948717948,0.093,0.9587628865979382,0.094,0.8867924528301887
0.092,0.7931034482758621,0.092,0.9583333333333334,0.093,0.8942307692307693
0.091,0.7913043478260869,0.091,0.9578947368421052,0.092,0.8932038834951457
0.09,0.7894736842105263,0.09,0.9574468085106383,0.091,0.8921568627450981
0.089,0.7946428571428571,0.089,0.956989247311828,0.09,0.8910891089108911
0.088,0.7927927927927928,0.088,0.9565217391304348,0.089,0.89
0.087,0.7909090909090909,0.087,0.9560439560439561,0.088,0.8888888888888888
0.086,0.7962962962962963,0.086,0.9555555555555556,0.087,0.8877551020408163
0.085,0.8018867924528302,0.085,0.9550561797752809,0.086,0.8865979381443299
0.084,0.8,0.084,0.9545454545454546,0.085,0.8854166666666666
0.083,0.8058252427184466,0.083,0.9651162790697675,0.084,0.8842105263157894
0.082,0.803921568627451,0.082,0.9647058823529412,0.083,0.8829787234042553
0.081,0.81,0.081,0.9642857142857143,0.082,0.8913043478260869
0.08,0.8163265306122449,0.08,0.963855421686747,0.081,0.9
0.079,0.8229166666666666,0.079,0.9634146341463414,0.08,0.898876404494382
0.078,0.8210526315789474,0.078,0.9629629629629629,0.079,0.8977272727272727
0.077,0.8191489361702128,0.077,0.9625,0.078,0.896551724137931
0.076,0.8260869565217391,0.076,0.9620253164556962,0.077,0.8953488372093024
0.075,0.8241758241758241,0.075,0.9615384615384616,0.076,0.8941176470588236
0.074,0.8222222222222222,0.074,0.961038961038961,0.075,0.8928571428571429
0.073,0.8202247191011236,0.073,0.9605263157894737,0.074,0.891566265060241
0.072,0.8181818181818182,0.072,0.96,0.073,0.8902439024390244
0.071,0.8160919540229885,0.071,0.9726027397260274,0.072,0.8888888888888888
0.071,0.8160919540229885,0.071,0.9726027397260274,0.071,0.8987341772151899
0.069,0.8117647058823529,0.069,0.971830985915493,0.071,0.8987341772151899
0.069,0.8117647058823529,0.069,0.971830985915493,0.069,0.8961038961038961
0.067,0.8072289156626506,0.068,0.9714285714285714,0.069,0.8961038961038961
0.067,0.8072289156626506,0.067,0.9710144927536232,0.067,0.8933333333333333
0.065,0.8125,0.067,0.9710144927536232,0.067,0.8933333333333333
0.065,0.8125,0.065,0.9701492537313433,0.065,0.8904109589041096
0.063,0.8076923076923077,0.065,0.9701492537313433,0.065,0.8904109589041096
0.062,0.8378378378378378,0.063,0.9692307692307692,0.063,0.8873239436619719
0.061,0.8356164383561644,0.062,0.96875,0.062,0.8857142857142857
0.06,0.8450704225352113,0.061,0.9682539682539683,0.062,0.8857142857142857
0.059,0.8428571428571429,0.06,0.967741935483871,0.06,0.8823529411764706
0.058,0.8405797101449275,0.059,0.9672131147540983,0.059,0.8805970149253731
0.057,0.8382352941176471,0.058,0.9830508474576272,0.058,0.8787878787878788
0.056,0.835820895522388,0.057,0.9827586206896551,0.057,0.8769230769230769
0.055,0.8333333333333334,0.056,0.9824561403508771,0.056,0.875
0.054,0.8307692307692308,0.055,0.9821428571428571,0.055,0.873015873015873
0.053,0.828125,0.054,0.9818181818181818,0.054,0.8709677419354839
0.052,0.8253968253968254,0.053,0.9814814814814815,0.053,0.8688524590163934
0.051,0.8225806451612904,0.052,0.9811320754716981,0.052,0.8666666666666667
0.05,0.819672131147541,0.051,0.9807692307692307,0.052,0.8666666666666667
0.049,0.8166666666666667,0.05,0.9803921568627451,0.05,0.8620689655172413
0.048,0.8135593220338984,0.049,0.98,0.049,0.875
0.047,0.8103448275862069,0.048,0.9795918367346939,0.048,0.8888888888888888
0.046,0.8070175438596491,0.047,0.9791666666666666,0.047,0.9215686274509803
0.046,0.8070175438596491,0.046,0.9787234042553191,0.046,0.92
0.044,0.8,0.045,0.9782608695652174,0.045,0.9183673469387755
0.043,0.7962962962962963,0.044,1.0,0.044,0.9166666666666666
0.042,0.7924528301886793,0.043,1.0,0.043,0.9148936170212766
0.041,0.7884615384615384,0.042,1.0,0.042,0.9130434782608695
0.04,0.7843137254901961,0.041,1.0,0.041,0.9111111111111111
0.039,0.78,0.04,1.0,0.04,0.9090909090909091
0.038,0.7755102040816326,0.039,1.0,0.04,0.9090909090909091
0.037,0.8222222222222222,0.038,1.0,0.038,0.926829268292683
0.036,0.8181818181818182,0.037,1.0,0.037,0.925
0.035,0.813953488372093,0.036,1.0,0.036,0.9230769230769231
0.034,0.8292682926829268,0.035,1.0,0.035,0.9210526315789473
0.033,0.825,0.034,1.0,0.034,0.9444444444444444
0.032,0.8205128205128205,0.033,1.0,0.033,0.9705882352941176
0.031,0.8157894736842105,0.032,1.0,0.032,0.9696969696969697
0.03,0.8108108108108109,0.031,1.0,0.031,0.96875
0.029,0.8055555555555556,0.03,1.0,0.03,0.967741935483871
0.028,0.875,0.029,1.0,0.029,1.0
0.027,0.8709677419354839,0.028,1.0,0.028,1.0
0.026,0.8666666666666667,0.027,1.0,0.027,1.0
0.025,0.8620689655172413,0.026,1.0,0.026,1.0
0.024,0.8571428571428571,0.025,1.0,0.025,1.0
0.023,0.8846153846153846,0.024,1.0,0.024,1.0
0.022,0.88,0.023,1.0,0.023,1.0
0.021,0.875,0.022,1.0,0.022,1.0
0.02,0.8695652173913043,0.021,1.0,0.021,1.0
0.019,0.8636363636363636,0.02,1.0,0.02,1.0
0.018,0.8571428571428571,0.019,1.0,0.019,1.0
0.017,0.8947368421052632,0.018,1.0,0.018,1.0
0.016,0.8888888888888888,0.017,1.0,0.017,1.0
0.015,0.8823529411764706,0.016,1.0,0.016,1.0
0.014,0.875,0.015,1.0,0.015,1.0
0.013,0.9285714285714286,0.014,1.0,0.014,1.0
0.012,0.9230769230769231,0.013,1.0,0.013,1.0
0.011,0.9166666666666666,0.012,1.0,0.012,1.0
0.01,0.9090909090909091,0.011,1.0,0.011,1.0
0.009,0.9,0.01,1.0,0.01,1.0
0.008,0.8888888888888888,0.009,1.0,0.009,1.0
0.007,0.875,0.008,1.0,0.008,1.0
0.006,0.8571428571428571,0.007,1.0,0.007,1.0
0.006,1.0,0.006,1.0,0.006,1.0
0.005,1.0,0.005,1.0,0.005,1.0
0.004,1.0,0.004,1.0,0.004,1.0
0.003,1.0,0.003,1.0,0.003,1.0
0.002,1.0,0.002,1.0,0.002,1.0
0.001,1.0,0.001,1.0,0.001,1.0
0.001,1.0,0.001,1.0,0.001,1.0
